week,indicator,condition,slope,lo,hi
1,Frequency,online,0.9288355022927375,-1.2972135473205513,3.1548845519060262
1,Frequency,hybrid,1.2533635663046303,-1.2660280323651942,3.7727551649744546
1,Frequency,in_person,0.5157754571129656,-1.555599638041081,2.587150552267012
1,Immediacy,online,0.4571127698380431,-1.349362184126644,2.2635877238027304
1,Immediacy,hybrid,1.1149745501710626,-1.015091753474453,3.2450408538165783
1,Immediacy,in_person,-0.07044865347937007,-1.7892631181161036,1.6483658111573636
1,Diversity,online,1.3072086397424425,-0.9957363755565722,3.610153655041457
1,Diversity,hybrid,0.5332655006644852,-1.9231630304407021,2.9896940317696723
1,Diversity,in_person,0.3616804535846182,-1.6870376433965855,2.4103985505658216
2,Frequency,online,2.0385127520876907,-0.04523457950736409,4.122260083682745
2,Frequency,hybrid,0.30417725170286625,-2.3101561256036542,2.9185106290093867
2,Frequency,in_person,1.050548720494374,-1.163248939611683,3.264346380600431
2,Immediacy,online,-0.5548950627388181,-2.4744099837100118,1.3646198582323756
2,Immediacy,hybrid,1.044262586750532,-1.2630294202803602,3.351554593781424
2,Immediacy,in_person,0.519542884391027,-1.4135632861327558,2.4526490549148097
2,Diversity,online,1.5361627301035383,-0.7036449497571431,3.77597040996422
2,Diversity,hybrid,1.251859076423399,-1.3855478990633971,3.8892660519101954
2,Diversity,in_person,0.16744214222434683,-2.046191758340682,2.381076042789376
3,Frequency,online,2.375458489909768,0.21050209729953773,4.540414882519999
3,Frequency,hybrid,0.7823321834256989,-2.047949066739906,3.612613433591304
3,Frequency,in_person,1.280682888265359,-1.2593701198013874,3.8207358963321054
3,Immediacy,online,-1.026616400795628,-2.921835225162594,0.8686024235713379
3,Immediacy,hybrid,0.012375921299170312,-2.5146581969618333,2.539410039560174
3,Immediacy,in_person,0.10193167826440863,-1.973554285070966,2.1774176415997832
3,Diversity,online,2.0745191050414356,-0.17235264205982093,4.321390852142692
3,Diversity,hybrid,1.4616059174967835,-1.2641173111333504,4.187329146126917
3,Diversity,in_person,1.1199656462499488,-1.3050625503802458,3.5449938428801433
4,Frequency,online,1.5765222757853963,-0.5670358077515989,3.7200803593223917
4,Frequency,hybrid,0.962006468439172,-1.954314851035892,3.878327787914236
4,Frequency,in_person,2.047513685969375,-0.6401512250293568,4.735178596968106
4,Immediacy,online,-0.272044214559774,-2.117426856908283,1.5733384277887348
