term,estimate,std.error,statistic,p.value
(Intercept),62.67733974358975,0.6129231669887527,102.25970092062109,0
z_cum_freq,1.450818823319986,1.0873438729478544,1.3342778300545615,0.1825668016477707
z_cum_imm,-0.14005157478456168,0.9827743256492179,-0.14250634263572567,0.8867229767070024
z_cum_div,2.4978148302317535,1.1525056715440432,2.1672907057241315,0.030564797747923728
conditionhybrid,9.180916070363747,1.0281689735846862,8.929384474961061,4.098484553667133e-18
conditionin_person,7.923637413770664,0.9852168139679195,8.042531655401358,4.00464954404294e-15
z_cum_freq:conditionhybrid,-0.4170150472044677,1.8403706366828287,-0.22659296931411346,0.8208094766099507
z_cum_freq:conditionin_person,0.8241744196099344,1.7257105144454288,0.47758555836045863,0.6331012054844565
z_cum_imm:conditionhybrid,0.30872886106875863,1.6929538086476135,0.1823610659025489,0.8553546228655842
z_cum_imm:conditionin_person,-0.2784239901884466,1.5189675024851614,-0.18329818757341484,0.8546195937255716
z_cum_div:conditionhybrid,-1.2586342048915533,1.867290760217324,-0.6740429673336291,0.5005168214413771
z_cum_div:conditionin_person,-1.9710106668377143,1.7219878933293464,-1.1446135448878791,0.2527786189823782
