indicator,interpretation,mean_rho,median_rho,min_rho,groups
frequency,cumulative,0.4961382428439163,0.4334280600183695,0.07107101848751317,68
frequency,per_week,0.8355005206727613,0.8563631025608874,0.5436544330876695,68
diversity,cumulative,0.4347633644927947,0.3561127294880452,-0.039496784336644504,68
diversity,per_week,0.9154018561429226,0.9278663493008381,0.5040198618144239,68
