condition,cluster,n,prop
online,C1,336,0.5137614678899083
online,C2,318,0.48623853211009177
hybrid,C1,92,0.5348837209302325
hybrid,C2,80,0.46511627906976744
in_person,C1,247,0.5323275862068966
in_person,C2,217,0.4676724137931034
